date,symbol,direction,entry,exit,qty,pnl,charges,net_pnl,capital_after,exit_reason
2020-01-22,360ONE,SHORT,330.00,327.50,100,250.00,29.45,220.55,201015,TIME
2020-01-23,360ONE,SHORT,322.45,323.72,100,-127.36,28.96,-156.32,200858,STOP_LOSS
2020-01-23,360ONE,SHORT,323.65,322.99,100,66.10,28.97,37.13,200896,TARGET
2020-01-24,360ONE,LONG,326.20,325.39,100,-80.72,29.19,-109.91,200786,STOP_LOSS
2020-01-24,360ONE,LONG,326.05,327.92,100,186.94,29.31,157.63,200943,TARGET
2020-01-27,360ONE,SHORT,326.50,326.76,100,-26.45,29.27,-55.72,200888,STOP_LOSS
2020-01-27,360ONE,LONG,327.25,324.99,100,-225.86,29.21,-255.08,200632,STOP_LOSS
2020-01-28,360ONE,SHORT,327.50,325.75,100,175.00,29.26,145.74,200778,TIME
2020-01-29,360ONE,SHORT,322.50,323.06,100,-55.99,28.93,-84.92,200693,STOP_LOSS
2020-01-29,360ONE,SHORT,322.50,320.79,100,171.11,28.82,142.29,200836,TARGET
2020-01-30,360ONE,LONG,325.00,326.83,100,182.69,29.22,153.47,200989,TARGET
2020-01-30,360ONE,LONG,331.60,327.33,100,-427.49,29.50,-457.00,200532,STOP_LOSS
2020-01-31,360ONE,LONG,332.50,335.64,100,313.89,29.96,283.93,200816,TARGET
2020-02-01,360ONE,LONG,333.75,338.31,100,455.99,30.14,425.86,201242,TARGET
2020-02-01,360ONE,LONG,342.20,338.68,100,-352.12,30.49,-382.61,200859,STOP_LOSS
2020-02-03,360ONE,SHORT,329.75,330.79,100,-104.06,29.60,-133.67,200726,STOP_LOSS
2020-02-03,360ONE,SHORT,330.10,330.79,100,-69.36,29.62,-98.98,200627,STOP_LOSS
2020-02-04,360ONE,LONG,339.20,336.83,100,-236.71,30.28,-266.99,200360,STOP_LOSS
2020-02-04,360ONE,LONG,338.75,336.76,100,-198.80,30.26,-229.06,200131,STOP_LOSS
2020-02-05,360ONE,LONG,335.75,336.16,100,40.84,30.11,10.73,200141,TARGET
2020-02-05,360ONE,LONG,336.45,335.68,100,-77.10,30.11,-107.21,200034,STOP_LOSS
2020-02-06,360ONE,LONG,337.50,340.65,100,314.78,30.40,284.37,200318,TARGET
2020-02-06,360ONE,LONG,341.50,338.27,100,-322.74,30.44,-353.18,199965,STOP_LOSS
2020-02-07,360ONE,LONG,341.50,345.96,100,445.68,30.83,414.86,200380,TARGET
2020-02-07,360ONE,LONG,343.10,342.48,100,-61.89,30.72,-92.61,200287,STOP_LOSS
2020-02-10,360ONE,LONG,360.30,370.56,100,1026.00,32.80,993.20,201281,TARGET
2020-02-10,360ONE,LONG,366.10,368.15,100,205.00,32.91,172.09,201453,TIME
2020-02-11,360ONE,LONG,368.05,376.77,100,871.81,33.42,838.39,202291,TARGET
2020-02-12,360ONE,LONG,383.50,381.18,100,-231.52,34.25,-265.77,202025,STOP_LOSS
2020-02-12,360ONE,LONG,385.90,381.76,100,-414.32,34.38,-448.70,201577,STOP_LOSS
2020-02-13,360ONE,LONG,397.15,401.25,100,410.00,35.80,374.20,201951,TIME
2020-02-14,360ONE,SHORT,400.00,396.25,100,375.00,35.66,339.34,202290,TIME
2020-02-17,360ONE,SHORT,389.15,389.79,100,-63.75,34.91,-98.65,202192,STOP_LOSS
2020-02-17,360ONE,SHORT,389.30,387.68,100,161.98,34.81,127.18,202319,TARGET
2020-02-18,360ONE,SHORT,383.25,380.60,100,265.01,34.21,230.80,202550,TARGET
2020-02-18,360ONE,SHORT,380.00,372.53,100,746.51,33.68,712.83,203262,TARGET
2020-02-19,360ONE,LONG,393.75,391.97,100,-177.50,35.20,-212.70,203050,STOP_LOSS
2020-02-19,360ONE,LONG,393.75,397.38,100,363.29,35.47,327.82,203378,TARGET
2020-02-24,360ONE,SHORT,387.95,390.45,100,-250.41,34.89,-285.30,203092,STOP_LOSS
2020-02-24,360ONE,SHORT,389.00,388.25,100,75.05,34.82,40.23,203132,TARGET
2020-02-25,360ONE,LONG,390.00,384.61,100,-538.88,34.68,-573.56,202559,STOP_LOSS
2020-02-26,360ONE,SHORT,382.85,380.27,100,258.09,34.18,223.91,202783,TARGET
2020-02-27,360ONE,SHORT,372.05,376.84,100,-478.70,33.58,-512.28,202271,STOP_LOSS
2020-02-27,360ONE,SHORT,372.50,377.37,100,-486.71,33.63,-520.34,201750,STOP_LOSS
2020-02-28,360ONE,SHORT,365.50,368.47,100,-297.24,32.90,-330.15,201420,STOP_LOSS
2020-02-28,360ONE,SHORT,362.50,367.12,100,-461.56,32.72,-494.28,200926,STOP_LOSS
2020-03-02,360ONE,LONG,369.90,374.08,100,418.10,33.36,384.74,201310,TARGET
2020-03-02,360ONE,LONG,376.95,372.90,100,-404.51,33.58,-438.09,200872,STOP_LOSS
2020-03-03,360ONE,SHORT,362.50,362.50,100,0.00,32.49,-32.49,200840,TIME
2020-03-04,360ONE,SHORT,362.50,363.67,100,-116.90,32.55,-149.44,200690,STOP_LOSS
2020-03-04,360ONE,SHORT,362.50,363.66,100,-116.36,32.55,-148.90,200542,STOP_LOSS
2020-03-05,360ONE,SHORT,362.50,366.14,100,-363.56,32.67,-396.22,200145,STOP_LOSS
2020-03-05,360ONE,LONG,368.75,373.09,100,434.41,33.26,401.14,200546,TARGET
2020-03-06,360ONE,LONG,375.00,369.59,100,-541.50,33.34,-574.84,199972,STOP_LOSS
2020-03-09,360ONE,SHORT,350.35,352.96,100,-261.18,31.53,-292.71,199679,STOP_LOSS
2020-03-09,360ONE,SHORT,351.95,349.59,100,236.33,31.42,204.91,199884,TARGET
2020-03-11,360ONE,SHORT,349.35,345.43,100,392.45,31.11,361.34,200245,TARGET
2020-03-11,360ONE,SHORT,352.20,350.62,100,157.71,31.48,126.23,200371,TARGET
2020-03-12,360ONE,SHORT,325.85,322.80,100,304.83,29.05,275.78,200647,TARGET
2020-03-13,360ONE,SHORT,294.50,299.90,100,-540.43,26.66,-567.09,200080,STOP_LOSS
2020-03-13,360ONE,SHORT,299.70,305.90,100,-619.53,27.17,-646.70,199433,STOP_LOSS
2020-03-16,360ONE,SHORT,301.25,304.31,100,-306.17,27.15,-333.32,199100,STOP_LOSS
2020-03-16,360ONE,SHORT,302.30,296.22,100,607.80,26.79,581.02,199681,TARGET
2020-03-17,360ONE,SHORT,282.50,282.71,100,-20.69,25.33,-46.01,199635,STOP_LOSS
2020-03-17,360ONE,SHORT,281.25,285.14,100,-389.09,25.40,-414.49,199221,STOP_LOSS
2020-03-18,360ONE,SHORT,258.75,248.77,150,1497.26,34.03,1463.23,200684,TARGET
2020-03-19,360ONE,SHORT,201.50,205.75,150,-636.87,27.41,-664.28,200020,STOP_LOSS
2020-03-19,360ONE,SHORT,205.00,205.81,150,-122.19,27.62,-149.81,199870,STOP_LOSS
2020-03-20,360ONE,SHORT,207.30,203.48,150,572.71,27.58,545.13,200415,TARGET
2020-03-20,360ONE,SHORT,207.25,204.73,150,378.64,27.67,350.97,200766,TARGET
2020-03-23,360ONE,SHORT,195.15,197.96,200,-562.29,35.26,-597.55,200168,STOP_LOSS
2020-03-23,360ONE,SHORT,201.75,205.82,150,-611.19,27.43,-638.61,199530,STOP_LOSS
2020-03-24,360ONE,SHORT,188.85,193.88,200,-1006.94,34.35,-1041.30,198488,STOP_LOSS
2020-03-25,360ONE,LONG,223.00,229.67,150,1000.49,30.48,970.01,199458,TARGET
2020-03-25,360ONE,LONG,222.90,226.56,150,548.85,30.24,518.62,199977,TARGET
2020-03-26,360ONE,LONG,233.95,240.56,150,990.76,31.95,958.81,200936,TARGET
2020-03-26,360ONE,LONG,237.75,245.30,150,1132.63,32.53,1100.10,202036,TARGET
2020-03-27,360ONE,LONG,250.20,246.39,150,-571.27,33.35,-604.61,201431,STOP_LOSS
2020-03-27,360ONE,LONG,246.25,244.76,150,-223.31,32.99,-256.30,201175,STOP_LOSS
2020-03-30,360ONE,SHORT,231.50,232.66,150,-174.39,31.21,-205.60,200969,STOP_LOSS
2020-03-30,360ONE,SHORT,231.25,232.17,150,-138.22,31.16,-169.37,200800,STOP_LOSS
2020-03-31,360ONE,LONG,242.55,240.85,150,-255.12,32.48,-287.60,200512,STOP_LOSS
2020-03-31,360ONE,LONG,241.00,242.39,150,208.74,32.50,176.24,200689,TARGET
2020-04-01,360ONE,LONG,245.50,245.80,150,44.56,33.02,11.53,200700,TARGET
2020-04-01,360ONE,LONG,248.65,253.83,150,777.11,33.81,743.30,201443,TARGET
2020-04-03,360ONE,SHORT,247.70,241.78,150,888.25,32.85,855.39,202299,TARGET
2020-04-07,360ONE,LONG,250.00,251.16,150,173.39,33.69,139.70,202439,TARGET
2020-04-07,360ONE,LONG,247.50,248.20,150,104.92,33.32,71.59,202510,TARGET
2020-04-08,360ONE,LONG,265.60,261.83,150,-565.90,35.42,-601.32,201909,STOP_LOSS
2020-04-08,360ONE,LONG,263.45,261.00,150,-367.03,35.23,-402.26,201507,STOP_LOSS
2020-04-09,360ONE,LONG,265.75,262.86,150,-433.54,35.51,-469.04,201038,STOP_LOSS
2020-04-09,360ONE,LONG,263.45,261.14,150,-346.92,35.24,-382.16,200655,STOP_LOSS
2020-04-13,360ONE,SHORT,250.00,252.02,150,-303.19,33.76,-336.95,200318,STOP_LOSS
2020-04-13,360ONE,SHORT,253.50,249.56,150,591.20,33.78,557.41,200876,TARGET
2020-04-15,360ONE,SHORT,253.85,253.07,150,116.96,34.07,82.89,200959,TARGET
2020-04-15,360ONE,LONG,253.85,250.20,150,-547.74,33.85,-581.59,200377,STOP_LOSS
2020-04-16,360ONE,SHORT,244.35,238.77,150,837.61,32.43,805.18,201182,TARGET
2020-04-16,360ONE,SHORT,239.95,234.66,150,793.95,31.86,762.09,201944,TARGET
2020-04-17,360ONE,SHORT,239.95,241.49,150,-231.52,32.37,-263.89,201681,STOP_LOSS
2020-04-17,360ONE,SHORT,239.85,236.70,150,472.85,32.01,440.84,202121,TARGET
2020-04-20,360ONE,SHORT,237.50,239.62,150,-317.32,32.09,-349.41,201772,STOP_LOSS
2020-04-20,360ONE,SHORT,237.50,232.78,150,707.70,31.57,676.13,202448,TARGET
2020-04-21,360ONE,SHORT,221.15,219.00,150,322.50,29.57,292.93,202741,TIME
2020-04-23,360ONE,LONG,229.85,228.95,150,-135.53,30.83,-166.36,202575,STOP_LOSS
2020-04-23,360ONE,LONG,230.00,228.92,150,-162.01,30.84,-192.85,202382,STOP_LOSS
2020-04-24,360ONE,LONG,227.15,226.09,150,-159.02,30.46,-189.48,202192,STOP_LOSS
2020-04-24,360ONE,SHORT,226.50,222.99,150,526.16,30.18,495.97,202688,TARGET
2020-04-27,360ONE,SHORT,226.50,222.01,150,674.16,30.11,644.05,203332,TARGET
2020-04-27,360ONE,SHORT,223.75,218.63,150,767.95,29.69,738.26,204071,TARGET
2020-04-28,360ONE,LONG,229.50,227.36,150,-321.05,30.69,-351.74,203719,STOP_LOSS
2020-04-28,360ONE,LONG,228.20,226.95,150,-186.96,30.58,-217.55,203501,STOP_LOSS
2020-04-29,360ONE,LONG,230.60,227.07,150,-529.50,30.73,-560.24,202941,STOP_LOSS
2020-04-29,360ONE,LONG,228.30,227.19,150,-166.44,30.61,-197.04,202744,STOP_LOSS
2020-04-30,360ONE,LONG,234.10,230.98,150,-468.61,31.24,-499.84,202244,STOP_LOSS
2020-04-30,360ONE,LONG,232.45,234.56,150,316.03,31.41,284.63,202529,TARGET
2020-05-04,360ONE,LONG,242.00,241.57,150,-64.44,32.50,-96.94,202432,STOP_LOSS
2020-05-05,360ONE,SHORT,225.00,228.35,150,-503.02,30.50,-533.52,201898,STOP_LOSS
2020-05-06,360ONE,SHORT,226.20,226.17,150,4.18,30.41,-26.23,201872,TARGET
2020-05-06,360ONE,LONG,229.15,226.74,150,-361.06,30.62,-391.68,201480,STOP_LOSS
2020-05-07,360ONE,SHORT,220.00,220.81,150,-122.21,29.64,-151.85,201329,STOP_LOSS
2020-05-07,360ONE,SHORT,220.00,218.60,150,209.86,29.47,180.39,201509,TARGET
2020-05-08,360ONE,SHORT,220.50,221.86,150,-203.56,29.74,-233.30,201276,STOP_LOSS
2020-05-08,360ONE,LONG,227.05,224.10,150,-442.94,30.30,-473.24,200802,STOP_LOSS
2020-05-11,360ONE,SHORT,221.90,218.21,150,553.20,29.55,523.65,201326,TARGET
2020-05-11,360ONE,SHORT,221.60,219.16,150,366.64,29.61,337.03,201663,TARGET
2020-05-12,360ONE,SHORT,213.05,216.30,150,-487.06,28.88,-515.95,201147,STOP_LOSS
2020-05-12,360ONE,SHORT,214.00,216.01,150,-301.09,28.92,-330.01,200817,STOP_LOSS
2020-05-13,360ONE,LONG,218.95,218.14,150,-121.38,29.37,-150.75,200666,STOP_LOSS
2020-05-14,360ONE,SHORT,213.05,208.59,150,669.36,28.30,641.06,201308,TARGET
2020-05-14,360ONE,SHORT,209.50,210.68,150,-176.40,28.25,-204.65,201103,STOP_LOSS
2020-05-15,360ONE,SHORT,210.10,212.23,150,-319.96,28.40,-348.37,200755,STOP_LOSS
2020-05-15,360ONE,LONG,212.75,216.21,150,519.37,28.86,490.51,201245,TARGET
2020-05-18,360ONE,SHORT,207.50,209.36,150,-279.35,28.03,-307.38,200938,STOP_LOSS
2020-05-18,360ONE,SHORT,208.95,208.24,150,106.81,28.04,78.77,201016,TARGET
2020-05-19,360ONE,LONG,211.10,208.99,150,-316.90,28.22,-345.12,200671,STOP_LOSS
2020-05-19,360ONE,SHORT,208.70,207.25,150,217.50,27.95,189.55,200861,TIME
2020-05-20,360ONE,SHORT,209.70,210.08,150,-57.20,28.22,-85.41,200775,STOP_LOSS
2020-05-20,360ONE,SHORT,209.70,208.69,150,151.80,28.11,123.69,200899,TARGET
2020-05-21,360ONE,LONG,210.05,211.14,150,162.84,28.32,134.53,201034,TARGET
2020-05-21,360ONE,LONG,210.05,209.76,150,-43.88,28.21,-72.09,200962,STOP_LOSS
